"","DF$name","Sieges","V1","Name1","Nat1","SiegeOb1","Perc1","V2","Name2","Nat2","SiegeOb2","Perc2","V3","Name3","Nat3","SiegeOb3","Perc3","V4","Name4","Nat4","SiegeOb4","Perc4","V5","Name5","Nat5","SiegeOb5","Perc5","V6","Name6","Nat6","SiegeOb6","Perc6","V7","Name7","Nat7","SiegeOb7","Perc7","V8","Name8","Nat8","SiegeOb8","Perc8","V9","Name9","Nat9","SiegeOb9","Perc9","V10","Name10","Nat10","SiegeOb10","Perc10","V11","Name11","Nat11","SiegeOb11","Perc11","V12","Name12","Nat12","SiegeOb12","Perc12","V13","Name13","Nat13","SiegeOb13","Perc13","V14","Name14","Nat14","SiegeOb14","Perc14","V15","Name15","Nat15","SiegeOb15","Perc15"
"11","الهوارية",24,1200,"Nidaa Tounes","Liste partisane",7,"17.03%",964,"Ennahdha","Liste partisane",6,"8.71%",663,"Front Populaire","Liste de coalition",4,"12.58%",490,"Nakhdumou Biladna","Liste indépendante",3,"6.11%",339,"Altahadi","Liste indépendante",2,"24.76%",238,"Afek Tounes","Liste partisane",2,"30.82%",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","دار علوش",12,865,"Almutawasit","Liste indépendante",4,"12.57%",642,"Nidaa Tounes","Liste partisane",3,"35.18%",309,"Al'Iislah","Liste indépendante",2,"5.77%",298,"Machrouu Tounes","Liste partisane",1,"8.26%",203,"Ennahdha","Liste partisane",1,"12.12%",142,"Qayimat Alshabab Almustaqbil","Liste indépendante",1,"26.11%",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","حمام الغزاز",12,948,"Ennahdha","Liste partisane",5,"27.04%",600,"Alhizam Almadaniu","Liste indépendante",3,"10.82%",276,"Nidaa Tounes","Liste partisane",2,"42.72%",240,"Zitouna","Liste indépendante",1,"6.99%",155,"La Rencontre Démocratique","Liste partisane",1,"12.44%",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","تزغران",18,1140,"Al'Amal","Liste indépendante",5,"30.07%",986,"Ennahdha","Liste partisane",5,"9.44%",497,"Parti Socialiste","Liste partisane",2,"9.39%",454,"Nidaa Tounes","Liste partisane",2,"26.01%",358,"Amal Aldakhala","Liste indépendante",2,"11.98%",356,"Mashrueuna Litanmiya","Liste indépendante",2,"13.11%",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","قليبية",30,3156,"Kelibya Fi Eynyna","Liste indépendante",11,"3.33%",1379,"Nidaa Tounes","Liste partisane",5,"2.38%",1262,"Ennahdha","Liste partisane",4,"3.73%",1041,"Parti Destourien Libre Pdl","Liste partisane",4,"7.18%",685,"Kelibya Aleazyza","Liste indépendante",2,"33.07%",670,"Courant Démocrate","Liste partisane",2,"2.04%",356,"Hamat Alwatan","Liste indépendante",1,"7.02%",318,"Alaitilaf Almadaniu Kelibya","Liste indépendante",1,"13.22%",255,"Machrouu Tounes","Liste partisane",0,"2.67%",227,"Althibat Fi Hubin Kelibya","Liste indépendante",0,"14.45%",195,"Afek Tounes","Liste partisane",0,"10.91%",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16","أزمور",12,982,"Ennahdha","Liste partisane",8,"63.77%",558,"Nidaa Tounes","Liste partisane",4,"36.23%",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17","طبربة",24,2132,"Ennahdha","Liste partisane",10,"6.16%",1212,"Nidaa Tounes","Liste partisane",5,"2.72%",1117,"Mouvement Du Peuple","Liste partisane",5,"10.32%",570,"Tebourba Almustaqbal","Liste indépendante",3,"38.62%",340,"Front Populaire","Liste de coalition",1,"20.23%",150,"Union Civile","Liste de coalition",0,"21.95%",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","الجديدة",24,2065,"Ennahdha","Liste partisane",7,"3.79%",1373,"Aleamal W Al'Amal","Liste indépendante",5,"9.69%",766,"Nidaa Tounes","Liste partisane",3,"20.91%",636,"Ufoq Jedeida","Liste indépendante",2,"7.42%",520,"Ghadwat Khyr","Liste indépendante",2,"7.92%",487,"Altahadi","Liste indépendante",2,"7.14%",469,"Courant Démocrate","Liste partisane",2,"31.45%",249,"Front Populaire","Liste de coalition",1,"11.67%",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19","البطان",18,791,"Ennahdha","Liste partisane",7,"40.11%",723,"Nidaa Tounes","Liste partisane",7,"23.23%",458,"Mouvement Du Peuple","Liste partisane",4,"36.66%",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"20","منزل تميم",30,1488,"Ennahdha","Liste partisane",6,"10.89%",1413,"Manzil Tamym 'Iilaa Al'Amam","Liste indépendante",6,"4.68%",1179,"Parti Destourien Libre Pdl","Liste partisane",5,"7.66%",984,"Nidaa Tounes","Liste partisane",4,"17.74%",837,"Front Populaire","Liste de coalition",3,"10.89%",837,"Sawt Almustaqbal","Liste indépendante",3,"19.36%",589,"Alddkhla","Liste indépendante",2,"12.80%",360,"Union Civile","Liste de coalition",1,"15.34%",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"21","تاكلسة",18,1594,"Nidaa Tounes","Liste partisane",5,"10.23%",1574,"Ennahdha","Liste partisane",5,"7.78%",883,"Altaqadomiya Lilnidhal Alaijtimaeii","Liste indépendante",3,"4.73%",569,"Front Populaire","Liste de coalition",2,"4.42%",433,"Al'Iiqlae Takilsa","Liste indépendante",1,"15.88%",263,"Al Irada","Liste indépendante",1,"28.30%",246,"Almisadaqiya...Aladaa'...Alkafa'A","Liste indépendante",1,"28.66%",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"22","منزل حر",12,781,"Nidaa Tounes","Liste partisane",6,"25.50%",434,"Al'Amal","Liste indépendante",3,"7.87%",353,"Ennahdha","Liste partisane",2,"20.74%",134,"Alainfitah","Liste indépendante",1,"45.89%",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"23","الميدة",24,1658,"Nidaa Tounes","Liste partisane",9,"10.15%",1221,"Ennahdha","Liste partisane",6,"8.27%",612,"L'Initiative","Liste partisane",3,"26.15%",474,"Front Populaire","Liste de coalition",2,"13.10%",386,"Ma Nsalmush Fi Biladna","Liste indépendante",2,"6.83%",319,"La Rencontre Démocratique","Liste partisane",2,"35.50%",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"24","قربص",12,429,"Alqayimat Almustaqilat Alwird","Liste indépendante",4,"12.81%",290,"Althibat","Liste indépendante",3,"36.39%",168,"Nidaa Tounes","Liste partisane",2,"24.60%",151,"Alnazaha","Liste indépendante",2,"11.96%",141,"Ennahdha","Liste partisane",1,"14.25%",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"25","سليمان",24,2229,"Ennahdha","Liste partisane",6,"4.69%",1857,"Salyman Almazyana","Liste indépendante",5,"1.33%",1752,"Nidaa Tounes","Liste partisane",5,"9.61%",882,"Almustaqbal","Liste indépendante",3,"5.47%",638,"Machrouu Tounes","Liste partisane",2,"20.23%",502,"Lmbara","Liste indépendante",1,"1.90%",486,"Courant Démocrate","Liste partisane",1,"5.29%",431,"Front Populaire","Liste de coalition",1,"24.28%",174,"Salyman Fi Alqalb","Liste indépendante",0,"6.95%",122,"Al'Amal","Liste indépendante",0,"19.08%",107,"Parti Socialiste","Liste partisane",0,"1.17%",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"26","منزل بوزلفة",24,1707,"Nidaa Tounes","Liste partisane",6,"6.49%",1653,"Ennahdha","Liste partisane",6,"13.26%",840,"Sawt Alwajib","Liste indépendante",3,"7.91%",828,"Parti Destourien Libre Pdl","Liste partisane",3,"26.08%",501,"Courant Démocrate","Liste partisane",2,"6.26%",411,"Alwafa' Lilmuatin","Liste indépendante",2,"26.94%",397,"Machrouu Tounes","Liste partisane",2,"13.07%",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"27","برج العامري",18,1158,"Nidaa Tounes","Liste partisane",8,"17.26%",871,"Ennahdha","Liste partisane",6,"33.04%",455,"Courant Démocrate","Liste partisane",3,"5.77%",152,"Mouvement Du Peuple","Liste partisane",1,"43.93%",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"28","البساتين",18,947,"Ennahdha","Liste partisane",8,"14.93%",757,"Nidaa Tounes","Liste partisane",7,"47.28%",299,"Courant Démocrate","Liste partisane",3,"37.79%",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"29","المرناقية",24,2296,"Ennahdha","Liste partisane",9,"5.34%",1371,"Nidaa Tounes","Liste partisane",5,"16.08%",1002,"Mornag Bawabat Alkhyr","Liste indépendante",4,"13.72%",855,"Shabab Mornag","Liste indépendante",3,"36.84%",375,"Machrouu Tounes","Liste partisane",2,"6.02%",333,"Front Populaire","Liste de coalition",1,"22.00%",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"30","قربة",30,1935,"Ennahdha","Liste partisane",6,"17.40%",1632,"Courant Démocrate","Liste partisane",5,"4.25%",1603,"Al'Iizdihar","Liste indépendante",5,"5.58%",1068,"Machrouu Tounes","Liste partisane",4,"6.00%",1056,"Nidaa Tounes","Liste partisane",3,"5.01%",553,"Afek Tounes","Liste partisane",2,"17.71%",514,"Sawtouna","Liste indépendante",2,"21.00%",462,"AL IRADA","Liste partisane",2,"11.59%",392,"Ghadwat Khyr","Liste indépendante",1,"11.46%",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"31","الشريفات",18,959,"Mustaqbal Alshryfat-Bousharay","Liste indépendante",6,"4.33%",545,"Nartaqi","Liste indépendante",3,"12.28%",490,"Almyzan","Liste indépendante",3,"15.96%",399,"Nidaa Tounes","Liste partisane",2,"31.24%",377,"Alkarama","Liste indépendante",2,"17.75%",167,"Ennahdha","Liste partisane",1,"5.44%",133,"Front Populaire","Liste de coalition",1,"13.00%",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"32","بني خلاد",24,962,"Nidaa Tounes","Liste partisane",5,"5.38%",908,"Taj Aldakhla","Liste indépendante",5,"17.66%",906,"Ennahdha","Liste partisane",5,"4.65%",797,"Al'Amal","Liste indépendante",4,"10.81%",488,"Ghadwat Khyr","Liste indépendante",3,"20.12%",243,"Front Populaire","Liste de coalition",1,"20.07%",210,"Altamayoz","Liste indépendante",1,"21.31%",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"33","المعمورة",12,891,""" Almaemurat...Ila Al'Amam ""","Liste indépendante",3,"29.56%",768,"Ennahdha","Liste partisane",3,"15.53%",738,"Tumuh Almaemura","Liste indépendante",3,"24.49%",468,"Shabab Almaemurat Almustaqil","Liste indépendante",2,"25.48%",149,"Nidaa Tounes","Liste partisane",1,"4.94%",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"34","تازركة",12,1854,"Nidaa Tounes","Liste partisane",7,"9.67%",864,"Ennahdha","Liste partisane",4,"28.71%",291,"Altomouh Waltahady","Liste indépendante",1,"61.62%",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"35","بني خيار",24,2014,"Ennahdha","Liste partisane",8,"5.39%",1892,"Nidaa Tounes","Liste partisane",7,"16.90%",1060,"Alshabab","Liste indépendante",4,"15.46%",970,"Bani Khyar Tatajadad","Liste indépendante",4,"32.10%",338,"Front Populaire","Liste de coalition",1,"30.16%",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"36","صمعة",12,939,"Ennahdha","Liste partisane",4,"16.34%",629,"Kolna Alsomoa","Liste indépendante",3,"24.41%",540,"Nidaa Tounes","Liste partisane",3,"1.86%",421,"Biladi Amana","Liste indépendante",2,"36.44%",48,"Afek Tounes","Liste partisane",0,"20.95%",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"37","نابل",30,3845,"Nidaa Tounes","Liste partisane",7,"5.65%",3283,"Ennahdha","Liste partisane",6,"7.85%",1996,"Alqayima Almustaqila Nabeul Fi Alqalb","Liste indépendante",4,"12.12%",1749,"Parti Destourien Libre Pdl","Liste partisane",3,"2.88%",1292,"Union Civile","Liste de coalition",3,"4.14%",931,"Front Populaire","Liste de coalition",2,"4.32%",887,"Courant Démocrate","Liste partisane",2,"3.74%",712,"Nabeul Fi Aleilalii","Liste indépendante",1,"5.39%",681,"Min Houna Nabda","Liste indépendante",1,"19.94%",615,"Nabeul Mashrueina","Liste indépendante",1,"23.35%",474,"Kolna Nabeul","Liste indépendante",0,"10.62%",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"38","دار شعبان الفهري",24,2822,"Ennahdha","Liste partisane",7,"18.83%",2112,"Nidaa Tounes","Liste partisane",6,"14.14%",1749,"Al Aman","Liste indépendante",5,"13.92%",1314,"Almustaqila Amal","Liste indépendante",3,"30.38%",1293,"Darikum","Liste indépendante",3,"22.73%",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"39","زاوية الجديدي",18,2226,"Ghadwat Khyr","Liste indépendante",14,"78.08%",422,"Nidaa Tounes","Liste partisane",3,"7.12%",203,"Ennahdha","Liste partisane",1,"14.80%",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"40","بو عرقوب",24,1506,"Al'Iiradat W Aleamal","Liste indépendante",7,"6.19%",1376,"Nidaa Tounes","Liste partisane",6,"6.12%",1088,"Ennahdha","Liste partisane",5,"27.25%",876,"Alaintilaqa","Liste indépendante",4,"15.85%",342,"Front Populaire","Liste de coalition",1,"19.69%",338,"Afaq Bouragoub","Liste indépendante",1,"24.90%",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"41","فندق الجديدي",18,1274,"Ennahdha","Liste partisane",5,"6.77%",1204,"Nidaa Tounes","Liste partisane",5,"16.19%",1039,"Qayimat Mustqilta-Al'Iithad-","Liste indépendante",4,"22.76%",739,"Qayimat Al'Amal Aljadyd","Liste indépendante",3,"27.91%",309,"Front Populaire","Liste de coalition",1,"26.37%",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
